stock,start_date,stage
TUP,2021-01-01,4.0
TUP,2020-06-05,4.0
TUP,2020-09-18,4.0
TUP,2011-03-18,2.0
TUP,2006-12-29,4.0
TUP,2009-03-06,2.0
TUP,2009-07-17,3.0
TUP,2017-02-03,4.0
TUP,2003-02-14,3.0
TUP,1997-10-03,4.0
TUP,2015-10-23,1.0
TUP,1997-06-20,3.0
TUP,2012-01-06,4.0
TUP,2021-03-05,4.0
TUP,2018-02-02,4.0
TUP,1999-02-26,3.0
TUP,2021-09-24,4.0
TUP,2014-12-26,3.0
TUP,2004-09-10,1.0
TUP,2008-09-19,1.0
FNWD,2011-02-18,2.0
FNWD,1999-05-07,1.0
FNWD,2003-06-06,1.0
FNWD,2019-11-08,3.0
FNWD,2014-01-17,3.0
FNWD,2010-01-15,2.0
FNWD,2005-05-27,1.0
FNWD,2016-12-16,3.0
FNWD,2020-09-25,4.0
FNWD,2003-05-30,1.0
FNWD,2017-09-22,3.0
FNWD,1999-06-18,1.0
FNWD,2016-03-18,3.0
FNWD,2001-03-02,1.0
FNWD,2016-06-03,3.0
FNWD,2004-11-12,1.0
FNWD,2001-10-19,1.0
FNWD,2016-10-21,3.0
FNWD,2006-09-22,1.0
FNWD,2014-07-11,3.0
VVX,2017-09-22,2.0
VVX,2019-04-19,3.0
VVX,2015-07-24,3.0
VVX,2018-07-06,4.0
VVX,2017-01-20,1.0
VVX,2019-04-05,3.0
VVX,2018-05-11,1.0
VVX,2021-02-19,3.0
VVX,2019-06-07,4.0
VVX,2016-10-28,4.0
VVX,2018-02-09,4.0
VVX,2017-08-18,2.0
VVX,2019-01-04,3.0
VVX,2019-03-08,3.0
VVX,2021-03-05,3.0
VVX,2019-09-27,1.0
VVX,2020-02-28,4.0
VVX,2019-05-10,3.0
VVX,2018-10-05,1.0
VVX,2016-07-29,1.0
BIG,2001-11-09,3.0
BIG,1994-03-18,2.0
BIG,1986-06-20,2.0
BIG,2014-05-30,2.0
BIG,2004-11-12,2.0
BIG,2021-06-11,4.0
BIG,1988-10-07,3.0
BIG,2013-07-12,3.0
BIG,2005-01-28,2.0
BIG,2002-08-16,4.0
BIG,1999-01-22,1.0
BIG,2000-05-26,2.0
BIG,1997-03-07,2.0
BIG,2010-02-12,3.0
BIG,2013-01-18,3.0
BIG,1995-12-22,3.0
BIG,2013-12-20,1.0
BIG,2003-08-29,1.0
BIG,1987-06-12,3.0
BIG,1987-07-17,4.0
CENT,2018-08-31,2.0
CENT,2012-04-06,3.0
CENT,2018-09-07,3.0
CENT,2000-11-03,3.0
CENT,2018-04-13,2.0
CENT,2017-04-28,1.0
CENT,2001-09-28,3.0
CENT,2011-10-21,1.0
CENT,2013-08-16,2.0
CENT,1996-09-06,4.0
CENT,2015-10-09,3.0
CENT,1995-06-02,3.0
CENT,2001-10-26,3.0
CENT,2007-10-05,4.0
CENT,1993-07-23,2.0
CENT,2021-04-30,1.0
CENT,2016-04-15,3.0
CENT,2005-07-15,4.0
CENT,1998-07-10,4.0
CENT,1998-03-20,2.0
DOX,2012-07-06,3.0
DOX,2020-11-27,3.0
DOX,2017-07-28,1.0
DOX,2016-12-02,4.0
DOX,2004-11-05,3.0
DOX,2018-02-09,4.0
DOX,2010-11-12,3.0
DOX,2011-05-06,3.0
DOX,2010-04-30,3.0
DOX,2004-06-04,3.0
DOX,2001-01-12,2.0
DOX,2007-12-21,3.0
DOX,2004-06-25,3.0
DOX,2013-08-23,3.0
DOX,2016-03-11,3.0
DOX,2006-04-07,1.0
DOX,2019-04-26,3.0
DOX,2001-11-02,2.0
DOX,2020-07-10,3.0
DOX,2008-04-25,3.0
VS,2021-08-06,4.0
VS,2013-05-17,4.0
VS,2019-09-27,4.0
VS,2021-07-30,4.0
VS,2021-03-12,4.0
VS,2014-06-06,2.0
VS,2021-02-26,4.0
VS,2021-01-29,4.0
VS,2015-11-06,4.0
VS,2014-11-21,2.0
VS,2017-12-08,4.0
VS,2020-01-10,4.0
